hostname,ip,username,password,enable_password,protocol,os
xe1,198.18.0.121,cisco,cisco,cisco,ssh,iosxe
xe2,198.18.0.122,cisco,cisco,cisco,ssh,iosxe
xe3,198.18.0.123,cisco,cisco,cisco,ssh,iosxe
xr1,198.18.0.131,cisco,cisco123,-,ssh,iosxr
xr2,198.18.0.132,cisco,cisco123,-,ssh,iosxr
xr3,198.18.0.133,cisco,cisco123,-,ssh,iosxr
xr4,198.18.0.133,cisco,cisco123,-,ssh,iosxr
xr5,198.18.0.133,cisco,cisco123,-,ssh,iosxr
xr6,198.18.0.133,cisco,cisco123,-,ssh,iosxr
xr7,198.18.0.133,cisco,cisco123,-,ssh,iosxr
xr8,198.18.0.133,cisco,cisco123,-,ssh,iosxr
xr9,198.18.0.133,cisco,cisco123,-,ssh,iosxr
xr10,198.18.0.133,cisco,cisco123,-,ssh,iosxr
xr11,198.18.0.133,cisco,cisco123,-,ssh,iosxr
xr12,198.18.0.133,cisco,cisco123,-,ssh,iosxr
xr13,198.18.0.133,cisco,cisco123,-,ssh,iosxr
xr14,198.18.0.133,cisco,cisco123,-,ssh,iosxr
xr15,198.18.0.133,cisco,cisco123,-,ssh,iosxr
xr16,198.18.0.133,cisco,cisco123,-,ssh,iosxr
