hostname,ip,username,password,enable_password,protocol,os,interface
CC-VCUBE,198.18.133.226,admin,C1sco12345,C1sco12345,ssh,iosxe,GigabitEthernet1
CC-VCUBE,198.18.133.226,admin,C1sco12345,C1sco12345,ssh,iosxe,GigabitEthernet2
CC-VCUBE,198.18.133.226,admin,C1sco12345,C1sco12345,ssh,iosxe,GigabitEthernet3
CC-VCUBE,198.18.133.226,admin,C1sco12345,C1sco12345,ssh,iosxe,GigabitEthernet4
CC-VCUBE,198.18.133.226,admin,C1sco12345,C1sco12345,ssh,iosxe,GigabitEthernet5
CC-VCUBE,198.18.133.226,admin,C1sco12345,C1sco12345,ssh,iosxe,GigabitEthernet6
CC-VCUBE,198.18.133.226,admin,C1sco12345,C1sco12345,ssh,iosxe,GigabitEthernet7
CC-VCUBE,198.18.133.226,admin,C1sco12345,C1sco12345,ssh,iosxe,GigabitEthernet8
CC-VCUBE,198.18.133.226,admin,C1sco12345,C1sco12345,ssh,iosxe,GigabitEthernet9
CC-VCUBE,198.18.133.226,admin,C1sco12345,C1sco12345,ssh,iosxe,GigabitEthernet10
CC-VCUBE,198.18.133.226,admin,C1sco12345,C1sco12345,ssh,iosxe,GigabitEthernet11
CC-VCUBE,198.18.133.226,admin,C1sco12345,C1sco12345,ssh,iosxe,GigabitEthernet12
CC-VCUBE,198.18.133.226,admin,C1sco12345,C1sco12345,ssh,iosxe,GigabitEthernet13
CC-VCUBE,198.18.133.226,admin,C1sco12345,C1sco12345,ssh,iosxe,GigabitEthernet14
CC-VCUBE,198.18.133.226,admin,C1sco12345,C1sco12345,ssh,iosxe,GigabitEthernet15
CC-VCUBE,198.18.133.226,admin,C1sco12345,C1sco12345,ssh,iosxe,GigabitEthernet16
CC-VCUBE,198.18.133.226,admin,C1sco12345,C1sco12345,ssh,iosxe,GigabitEthernet17
CC-VCUBE,198.18.133.226,admin,C1sco12345,C1sco12345,ssh,iosxe,GigabitEthernet18
CC-VCUBE,198.18.133.226,admin,C1sco12345,C1sco12345,ssh,iosxe,GigabitEthernet19
